ActivityName,district_name,tehsil_name,ucs,training_type,no_partcpnt,attend_m,attend_f,new_partcpnt,duration,t_venue,water_avail,func_wash,tmat_agenda,tmar_tsheet,tmar_vaccvial,tmar_rmap,tmar_fm,tmar_chalk,tmar_other,p_briefed,aic_sit,vacc_admin_videos,stall_method,sk_ipc,sk_vacc_administration,sk_finger_mark,sk_door_chalk,sk_data_record,sk_gender_mainstream,sop_ipc,sop_vacc_administration,sop_finger_mark,sop_door_chalk,sop_data_record,sop_gender_mainstream,qa,feedback,ttmv2_picture,stall_comm,stall_visiting,stall_guid,vacc_mang_vvm,stall_visiting_process,stall_pfm,stall_guid_fm,stall_board,stall_doorm,stall_guid_door,stall_tely_pana,stall_fill_telly,stall_guid_data_r,stall_afp,stall_payment_p,local_lang,local_lang_guideline,field_activity,field_demonstration
NID OCT 2025,PESHAWAR,SHAH ALAM,SAEEDABAD,cbv,14,0,14,0,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,PESHAWAR,CITY,SHAHEEN TOWN,cbv,12,0,12,0,235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,MOHMAND,HALEEMZAI,GHALLANAI,mt,20,21,9,3,240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,PESHAWAR,SMT,DERI BAGHBANAN,cbv,17,0,16,0,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,KHYBER,JAMRUD,SHAH KAS B,cbv,26,26,0,1,180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,CHARSADA,CHARSADDA,DOSEHRA,mt,23,2,18,3,240,1,1,1,1,1,1,1,1,0,1,1,1,0,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
NID OCT 2025,PESHAWAR,HASSAN KHEL,BORA,mt,16,14,0,1,230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,MOHMAND,AMBAR,CHARGOLAI,mt,30,28,0,2,210,1,1,0,1,1,1,0,1,1,0,1,1,0,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
NID OCT 2025,PESHAWAR,MATTANI,SHEIKH MOHAMMADI,cbv,13,0,10,0,240,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NID OCT 2025,MOHMAND,PARANG GHAAR,ASGHAR,mt,21,21,15,0,300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
